X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-3.76798,40.33152,0,0,71,,,,,TP072,,,,,,,,,,,,,,,,,,
-3.76799,40.33152,0,0,72,,,,,TP073,,,,,,,,,,,,,,,,,,
-3.76801,40.33153,0,0,73,,,,,TP074,,,,,,,,,,,,,,,,,,
-3.76804,40.33154,0,0,74,,,,,TP075,,,,,,,,,,,,,,,,,,
-3.76822,40.33142,0,0,75,,,,,TP076,,,,,,,,,,,,,,,,,,
-3.76837,40.33133,0,0,76,,,,,TP077,,,,,,,,,,,,,,,,,,
-3.76844,40.33128,0,0,77,,,,,TP078,,,,,,,,,,,,,,,,,,
-3.76868,40.33112,0,0,78,,,,,TP079,,,,,,,,,,,,,,,,,,
-3.76874,40.33108,0,0,79,,,,,TP080,,,,,,,,,,,,,,,,,,
-3.76884,40.33102,0,0,80,,,,,TP081,,,,,,,,,,,,,,,,,,
-3.76889,40.33099,0,0,81,,,,,TP082,,,,,,,,,,,,,,,,,,
-3.76894,40.33096,0,0,82,,,,,TP083,,,,,,,,,,,,,,,,,,
-3.76909,40.33086,0,0,83,,,,,TP084,,,,,,,,,,,,,,,,,,
-3.7690945,40.3308571,0,0,84,,,,,TP085,,,,,,,,,,,,,,,,,,
-3.76926,40.33075,0,0,85,,,,,TP086,,,,,,,,,,,,,,,,,,
-3.76932,40.3307,0,0,86,,,,,TP087,,,,,,,,,,,,,,,,,,
-3.76949,40.33057,0,0,87,,,,,TP088,,,,,,,,,,,,,,,,,,
-3.76998,40.33019,0,0,88,,,,,TP089,,,,,,,,,,,,,,,,,,
-3.77004,40.3301,0,0,89,,,,,TP090,,,,,,,,,,,,,,,,,,
-3.77021,40.32989,0,0,90,,,,,TP091,,,,,,,,,,,,,,,,,,
-3.77022,40.32987,0,0,91,,,,,TP092,,,,,,,,,,,,,,,,,,
-3.77044,40.32956,0,0,92,,,,,TP093,,,,,,,,,,,,,,,,,,
-3.7705,40.32947,0,0,93,,,,,TP094,,,,,,,,,,,,,,,,,,
-3.77052,40.32944,0,0,94,,,,,TP095,,,,,,,,,,,,,,,,,,
-3.77052,40.3294,0,0,95,,,,,TP096,,,,,,,,,,,,,,,,,,
-3.77052,40.32939,0,0,96,,,,,TP097,,,,,,,,,,,,,,,,,,
-3.77051,40.32935,0,0,97,,,,,TP098,,,,,,,,,,,,,,,,,,
-3.77036,40.32899,0,0,98,,,,,TP099,,,,,,,,,,,,,,,,,,
-3.77029,40.32883,0,0,99,,,,,TP100,,,,,,,,,,,,,,,,,,
-3.77025,40.32878,0,0,100,,,,,TP101,,,,,,,,,,,,,,,,,,
-3.770254,40.3287805,0,0,101,,,,,TP102,,,,,,,,,,,,,,,,,,
-3.77046,40.3289,0,0,102,,,,,TP103,,,,,,,,,,,,,,,,,,
-3.77051,40.32891,0,0,103,,,,,TP104,,,,,,,,,,,,,,,,,,
-3.77055,40.32891,0,0,104,,,,,TP105,,,,,,,,,,,,,,,,,,
-3.77059,40.32891,0,0,105,,,,,TP106,,,,,,,,,,,,,,,,,,
-3.77063,40.32891,0,0,106,,,,,TP107,,,,,,,,,,,,,,,,,,
-3.77065,40.32891,0,0,107,,,,,TP108,,,,,,,,,,,,,,,,,,
-3.77068,40.3289,0,0,108,,,,,TP109,,,,,,,,,,,,,,,,,,
-3.77071,40.32889,0,0,109,,,,,TP110,,,,,,,,,,,,,,,,,,
-3.77072,40.32888,0,0,110,,,,,TP111,,,,,,,,,,,,,,,,,,
-3.7707227,40.3288767,0,0,111,,,,,TP112,,,,,,,,,,,,,,,,,,
-3.77092,40.32864,0,0,112,,,,,TP113,,,,,,,,,,,,,,,,,,
-3.77111,40.32841,0,0,113,,,,,TP114,,,,,,,,,,,,,,,,,,
-3.77146,40.32802,0,0,114,,,,,TP115,,,,,,,,,,,,,,,,,,
-3.77154,40.32792,0,0,115,,,,,TP116,,,,,,,,,,,,,,,,,,
-3.77158,40.32788,0,0,116,,,,,TP117,,,,,,,,,,,,,,,,,,
-3.77165,40.32783,0,0,117,,,,,TP118,,,,,,,,,,,,,,,,,,
-3.77175,40.32777,0,0,118,,,,,TP119,,,,,,,,,,,,,,,,,,
-3.77197,40.32758,0,0,119,,,,,TP120,,,,,,,,,,,,,,,,,,
-3.77201,40.32754,0,0,120,,,,,TP121,,,,,,,,,,,,,,,,,,
-3.77208,40.32746,0,0,121,,,,,TP122,,,,,,,,,,,,,,,,,,
-3.77218,40.32732,0,0,122,,,,,TP123,,,,,,,,,,,,,,,,,,
-3.77274,40.32669,0,0,123,,,,,TP124,,,,,,,,,,,,,,,,,,
-3.77286,40.32652,0,0,124,,,,,TP125,,,,,,,,,,,,,,,,,,
-3.7728646,40.3265152,0,0,125,,,,,TP126,,,,,,,,,,,,,,,,,,
-3.77297,40.32649,0,0,126,,,,,TP127,,,,,,,,,,,,,,,,,,
-3.773,40.32648,0,0,127,,,,,TP128,,,,,,,,,,,,,,,,,,
-3.77305,40.32646,0,0,128,,,,,TP129,,,,,,,,,,,,,,,,,,
-3.77311,40.32642,0,0,129,,,,,TP130,,,,,,,,,,,,,,,,,,
-3.7731076,40.3264192,0,0,130,,,,,TP131,,,,,,,,,,,,,,,,,,
-3.77324,40.32648,0,0,131,,,,,TP132,,,,,,,,,,,,,,,,,,
-3.77345,40.32623,0,0,132,,,,,TP133,,,,,,,,,,,,,,,,,,
-3.77363,40.32632,0,0,133,,,,,TP134,,,,,,,,,,,,,,,,,,
-3.77408,40.32631,0,0,134,,,,,TP135,,,,,,,,,,,,,,,,,,
-3.77411,40.32635,0,0,135,,,,,TP136,,,,,,,,,,,,,,,,,,
-3.7741076,40.3263538,0,0,136,,,,,TP137,,,,,,,,,,,,,,,,,,
-3.77469,40.32629,0,0,137,,,,,TP138,,,,,,,,,,,,,,,,,,
-3.77504,40.32626,0,0,138,,,,,TP139,,,,,,,,,,,,,,,,,,
-3.77527,40.32624,0,0,139,,,,,TP140,,,,,,,,,,,,,,,,,,
-3.77597,40.32617,0,0,140,,,,,TP141,,,,,,,,,,,,,,,,,,
